Bragg	Gap
55.500	5.03920
55.100	5.05695
54.700	5.08425
54.300	5.10920
53.900	5.14945
53.500	5.17255
53.100	5.20795
52.700	5.22865
52.300	5.25910
51.900	5.29310
51.500	5.31850
51.100	5.35055
50.700	5.38010
50.300	5.42205
49.900	5.44960
49.500	5.48345
49.100	5.52420
48.700	5.56220
48.300	5.58885
47.900	5.62785
47.500	5.66135
47.100	5.70130
46.700	5.73600
46.300	5.78015
45.900	5.81580
45.500	5.85925
45.100	5.89670
44.700	5.94100
