Bragg	Gap
55.500	5.03205
55.000	5.06765
54.500	5.09860
54.000	5.13320
53.500	5.17180
53.000	5.20800
52.500	5.24220
52.000	5.28345
51.500	5.31940
51.000	5.35915
50.500	5.39985
50.000	5.44135
49.500	5.48405
49.000	5.52730
48.500	5.57445
48.000	5.61630
47.500	5.66235
47.000	5.70920
46.500	5.75705
46.000	5.80540
45.500	5.85780
