Bragg	Gap
16500	6.30040
16300	6.37215
16100	6.44565
15900	6.52090
15700	6.59145
15500	6.67270
15300	6.74910
15100	6.83065
14900	6.91645
14700	6.99785
14500	7.08695
14300	7.17535
14100	7.26340
13900	7.35605
13700	7.45205
13500	7.55215
13300	7.65480
13100	7.75405
12900	7.85880
12700	7.96930
12500	8.07815
