Bragg	Gap
6.400	6.24120
6.390	6.25370
6.380	6.26005
6.370	6.26915
6.360	6.28210
6.350	6.28890
6.340	6.29590
6.330	6.30885
6.320	6.31860
6.310	6.32860
6.300	6.33540
6.290	6.34510
6.280	6.35505
6.270	6.36790
6.260	6.37785
6.250	6.38455
6.240	6.39440
6.230	6.40705
6.220	6.41390
6.210	6.42375
6.200	6.43350
6.190	6.44335
6.180	6.45330
6.170	6.46295
6.160	6.47295
6.150	6.48565
6.140	6.49240
6.130	6.50520
6.120	6.51505
6.110	6.52775
