time SESO_x SESO_y
3489.71154502 19.498505901688333 21.44860301807859
3489.717861166 19.54331496024584 21.628164479781475
3489.72417227 19.492353608603423 21.556213309654186
3489.736794479 19.531887554413384 21.378061572350134
3489.743105583 19.277673996584117 20.867127455166525
3489.743105583 19.277673996584117 20.867127455166525
3489.755732833 19.602484314273376 22.167780120405414
3489.762043937 19.415198741052844 22.340677191735622
3489.768355041 19.560672756418413 21.364977990381924
3489.774671187 19.445003756574003 21.224442774855998
3489.780982291 19.515369710307873 22.237805899098152
3489.787293395 19.576624745839297 21.300775660817834
3489.7936045 19.54672049467256 22.024963589442216
3489.799915604 19.329739346074017 20.911129680045285
3489.80623175 19.426941371385816 21.238095238095237
3489.818853958 19.489442241334913 22.10467631456971
3489.825165062 19.380506303681752 22.115450298859813
3489.831476166 19.639775508690384 21.994585506959726
3489.831476166 19.639775508690384 21.994585506959726
3489.844103416 19.42696301339883 21.846995598570143
3489.85041452 19.56714079987873 20.81056567545034
3489.856725625 19.40033901685113 21.73885731379001
3489.863036729 19.46710941642888 21.894194591045682
3489.869352875 19.49007818749516 20.9995777027027
3489.875663979 19.35615498310811 20.9995777027027
3489.888286187 19.38919015249879 21.7233636294203
3489.894602333 19.608871677521563 21.577991802248096
3489.900913437 19.57350369218811 22.097454333462885
3489.907224541 19.408608918801143 21.986297390209653
3489.913535645 19.609878149473314 21.055020391823255
3489.91984675 19.394199758113285 21.52995867768595
3489.91984675 19.394199758113285 21.52995867768595
3489.932474 19.472856538746168 21.1468971350037
3489.938785104 19.42557332211235 21.956685251420154
3489.945096208 19.462988101892517 21.497484628283956
3489.951407312 19.422416660270677 21.907890811455847
3489.957723458 19.5441513481886 21.61555902286801
3489.964034562 19.5441513481886 21.61555902286801
3489.97665677 19.5358860018435 20.878602924690465
3489.982967875 19.55602396272465 21.877942952937406
3489.98928402 19.448898416716172 22.63842756411912
3489.995595125 19.45110292154035 20.77872135875661
3490.001906229 19.345933530730278 21.06818496278053
3490.008217333 19.46582285060817 22.055203243580415
3490.008217333 19.46582285060817 22.055203243580415
3490.020844583 19.576378649365967 22.444460827681116
3490.027155687 19.594789142026176 21.961560833737277
3490.033466791 19.4648377802831 20.785243642740824
3490.039777895 19.5858091141884 21.81450911170226
3490.052405145 19.45364213672021 22.296949321379653
