Bragg	Gap
55400	5.05040
54900	5.08645
54400	5.12045
53900	5.15540
53400	5.19095
52900	5.22750
52400	5.26825
51900	5.30365
51400	5.34275
50900	5.38305
50400	5.42400
49900	5.46285
49400	5.50560
48900	5.54945
48400	5.59700
47900	5.63950
47400	5.68870
46900	5.73900
46400	5.78100
45900	5.83010
45400	5.88275
